LIFNR,vendor_name,industry,disruptions_found,disruption_types,latest_disruption_date,sources_found,manual_review_required,match_confidence
1000,Rich's,Distribution,0,,,None,True,Low
1001,Indo Autotech Limited,Manufacturing,0,,,None,True,Low
1002,Cirque du Soleil,Entertainment,0,,,None,True,Low
1003,Zentis GmbH & Co. KG,Manufacturing,0,,,None,True,Low
1004,Flint Group,Manufacturing,0,,,None,True,Low
1005,Amazon Business Services US,Retail/Distribution,0,,,None,True,Low
1006,Fisher Scientific,Laboratory Equipment,0,,,None,True,Low
1007,Merck Life Sciences,Pharmaceuticals,0,,,None,True,Low
1008,Office Depot,Office Supplies,0,,,None,True,Low
1009,RS Components,Electronics Distribution,0,,,None,True,Low
1010,Eppendorf,Laboratory Equipment,0,,,None,True,Low
1011,Grainger,Distribution,0,,,None,True,Low
1012,Qiagen,Life Sciences,0,,,None,True,Low
1013,CDW,IT Distribution,0,,,None,True,Low
1014,Manutan,Office Supplies,0,,,None,True,Low
1015,Siemens,Industrial Manufacturing,2,labor_strike,2025-09-10,GDELT; NewsAPI,False,High
1016,ABB,Robotics & Automation,0,,,None,True,Low
1017,Continuum,IT Services,0,,,None,True,Low
1018,Cisco,Networking & IT,0,,,None,True,Low
1019,Apple,Electronics & Computing,0,,,None,True,Low
1020,Graybar,Electrical Distribution,0,,,None,True,Low
1021,Walmart,Retail,1,bankruptcy,2025-08-25,NewsAPI,False,High
1022,Air Liquide,Other,0,,,None,True,Low
1023,Binder,Laboratory Equipment,0,,,None,True,Low
1024,AstraZeneca,Pharmaceuticals,0,,,None,True,Low
1025,Saint-Gobain,Building Materials,0,,,None,True,Low
1026,Tesla,Electronics & Vehicles,0,,,None,True,Low
1027,Intel,Electronics & Semiconductors,2,supply_chain; shortage,2025-09-20,NewsAPI,False,High
1028,BASF,Chemicals,0,,,None,True,Low
1029,Dow Chemical,Chemicals,0,,,None,True,Low
1030,SABIC,Chemicals,0,,,None,True,Low
1031,LyondellBasell,Chemicals,0,,,None,True,Low
1032,ExxonMobil,Energy & Oil,1,natural_disaster,2025-07-25,GDELT,False,High
1033,Unilever,Consumer Goods,0,,,None,True,Low
1034,Nestlé,Food & Beverage,0,,,None,True,Low
1035,Aldo Group,Retail,0,,,None,True,Low
1036,The Coca-Cola Company,Food & Beverage,0,,,None,True,Low
1037,Lidl (Schwarz Group),Retail,0,,,None,True,Low
1038,Shell,Energy & Oil,0,,,None,True,Low
1039,Chevron,Energy & Oil,0,,,None,True,Low
1040,Novartis,Pharmaceuticals,0,,,None,True,Low
1041,Johnson and Johnson,Pharmaceuticals,1,recall,2025-09-15,NewsAPI,False,High
1042,Reckitt Benkiser,Consumer Goods,0,,,None,True,Low
1043,DHL Supply Chain,Logistics,0,,,None,True,Low
1044,FedEx,Logistics,1,logistics_delay,2025-08-20,NewsAPI,False,High
1045,Nippon Express,Logistics,0,,,None,True,Low
1046,Maersk Line,Shipping & Maritime,1,logistics_delay,2025-08-20,NewsAPI,False,High
1047,Kellogg Company,Food & Beverage,0,,,None,True,Low
1048,PepsiCo Inc,Food & Beverage,0,,,None,True,Low
1049,Monte Carlo Fashions,Other,0,,,None,True,Low
1050,Fluor Corporation,Engineering & Construction,0,,,None,True,Low
1051,Dow Inc,Chemicals,0,,,None,True,Low
1052,DuPont de Nemours Inc,Other,0,,,None,True,Low
1053,Eastman Chemical Company,Chemicals,0,,,None,True,Low
1054,JPMorgan Chase,Financial Services,0,,,None,True,Low
1055,Sanofi S.A,Pharmaceuticals,0,,,None,True,Low
1056,Valero Energy Corporation,Energy & Oil,0,,,None,True,Low
